Name,Longitude,Latitude,Directional link
,,,
"Shikhar Medical Store,Raipur",21.2468758,81.6142746,"https://www.google.com/maps/place/Shikhar+Medical+Store,Raipur/data=!4m7!3m6!1s0x3a28dde89e319085:0xd2b64e59ff9ce65f!8m2!3d21.2468758!4d81.6142746!16s%2Fg%2F11g8npnh3b!19sChIJhZAxnujdKDoRX-ac_1lOttI?authuser=0&hl=en&rclk=1"
Hanuman Medical Store,21.2472102,81.6158516,"https://www.google.com/maps/place/Hanuman+Medical+Store/@21.2472102,81.6158516,17z/data=!3m1!4b1!4m6!3m5!1s0x3a28dd75051c2f03:0x91606c44c8245a78!8m2!3d21.2472102!4d81.6158516!16s%2Fg%2F11gzm92nyg?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTAyMy4wIKXMDSoASAFQAw%3D%3D"
Rama Medical Stores,21.2436724,81.6120709,"https://www.google.com/maps/place/Rama+Medical+Stores/@21.2436724,81.6120709,17z/data=!3m1!4b1!4m6!3m5!1s0x3a28ddd4dec5e55d:0xb64dbf51bc6318ce!8m2!3d21.2436724!4d81.6120709!16s%2Fg%2F11wbz5pnj8?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTAyMy4wIKXMDSoASAFQAw%3D%3D"
Abhinav Medical Stores,21.2464844,81.6171336,"https://www.google.com/maps/place/Abhinav+Medical+Stores/@21.2464844,81.6171336,17z/data=!3m1!4b1!4m6!3m5!1s0x3a28dde8e2d6a44f:0xc0fee095c08650e3!8m2!3d21.2464844!4d81.6171336!16s%2Fg%2F11b7jjvg63?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTAyMy4wIKXMDSoASAFQAw%3D%3D"
Laxmi Narayan Medical Stores,21.2478491,81.6136427,https://www.google.com/maps/place/Laxmi+Narayan+Medical+Stores/data=!4m7!3m6!1s0x3a28dde60fd8f703:0x7369a2ff622198f4!8m2!3d21.2478491!4d81.6136427!16s%2Fg%2F11sbq_kn2n!19sChIJA_fYD-bdKDoR9JghYv-iaXM?authuser=0&hl=en&rclk=1
Om Medical Stores,21.2511877,81.6197072,https://www.google.com/maps/place/Om+Medical+Stores/data=!4m7!3m6!1s0x3a28ddeb52581c75:0xc7cd065cbf89b961!8m2!3d21.2511877!4d81.6197072!16s%2Fg%2F11tjxm2jkd!19sChIJdRxYUuvdKDoRYbmJv1wGzcc?authuser=0&hl=en&rclk=1
Shri Dhanvantari Generic Medical Store,21.2497222,81.6050291,https://www.google.com/maps/place/Shri+Dhanvantari+Generic+Medical+Store/data=!4m7!3m6!1s0x3a28dd5f5c1285a3:0xa163ee4a58f80b82!8m2!3d21.2497222!4d81.6050291!16s%2Fg%2F11t9jqtb5l!19sChIJo4USXF_dKDoRggv4WEruY6E?authuser=0&hl=en&rclk=1
Shree Laxmi Medical Store,21.2512505,81.6206026,https://www.google.com/maps/place/Shree+Laxmi+Medical+Store/data=!4m7!3m6!1s0x3a28dd001aec6d95:0xb37168a821db3a92!8m2!3d21.2512505!4d81.6206026!16s%2Fg%2F11lmj5xbvr!19sChIJlW3sGgDdKDoRkjrbIahocbM?authuser=0&hl=en&rclk=1
Om Shree Mahalaxmi Medical Store,21.2521248,81.6247896,"https://www.google.com/maps/place/Om+Shree+Mahalaxmi+Medical+Store/@21.2521248,81.6247896,17z/data=!3m1!4b1!4m6!3m5!1s0x3a28ddaf4d19a205:0x2ffb81b711cd8332!8m2!3d21.2521248!4d81.6247896!16s%2Fg%2F11ghzgnw31?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTAyMy4wIKXMDSoASAFQAw%3D%3D"
